"","id","date","trial","trialType","correct","catchTrial","rt","initDone","reward","punish","serialnumber","session","trialType2","go","bino"
"722.1809","722","201908071226.mat",2,1,1,0,0.418008200000259,1,1,0,35,1,"bino_go",1,1
"722.1810","722","201908071226.mat",3,1,0,0,0.000107399999251356,0,0,0,35,1,"bino_go",1,1
"722.1811","722","201908071226.mat",10,2,0,0,3.77950769999916,1,0,1,35,1,"bino_nogo",0,1
"722.1812","722","201908071226.mat",11,1,1,0,0.44600569999966,1,1,0,35,1,"bino_go",1,1
"722.1813","722","201908071226.mat",15,2,1,0,5.00005179999971,1,0,0,35,1,"bino_nogo",0,1
"722.1814","722","201908071226.mat",16,2,1,0,5.00003900000047,1,0,0,35,1,"bino_nogo",0,1
"722.1815","722","201908071226.mat",17,1,1,0,1.13859100000082,1,1,0,35,1,"bino_go",1,1
"722.1816","722","201908071226.mat",19,1,1,0,0.854623100000026,1,1,0,35,1,"bino_go",1,1
"722.1817","722","201908071226.mat",20,2,1,0,5.00009560000035,1,0,0,35,1,"bino_nogo",0,1
"722.1818","722","201908071226.mat",23,2,1,0,5.00006470000153,1,0,0,35,1,"bino_nogo",0,1
"722.1819","722","201908071226.mat",27,2,1,0,5.00002510000013,1,0,0,35,1,"bino_nogo",0,1
"722.1820","722","201908071226.mat",35,1,1,0,0.69910180000079,1,1,0,35,1,"bino_go",1,1
"722.1821","722","201908071226.mat",39,1,1,0,0.768087399999786,1,1,0,35,1,"bino_go",1,1
"722.1822","722","201908071226.mat",40,1,0,0,7.80000009399373e-05,0,0,0,35,1,"bino_go",1,1
"722.1823","722","201908071226.mat",42,2,1,0,5.00008140000136,1,0,0,35,1,"bino_nogo",0,1
"722.1824","722","201908071226.mat",43,2,1,0,5.00002590000076,1,0,0,35,1,"bino_nogo",0,1
"722.1825","722","201908071226.mat",44,1,1,0,0.388719900000069,1,1,0,35,1,"bino_go",1,1
"722.1826","722","201908071226.mat",45,1,1,0,0.919286599999396,1,1,0,35,1,"bino_go",1,1
"722.1827","722","201908071226.mat",46,1,1,0,0.433580200000506,1,1,0,35,1,"bino_go",1,1
"722.1828","722","201908071226.mat",54,1,1,0,0.873869299999569,1,1,0,35,1,"bino_go",1,1
"722.1829","722","201908071226.mat",56,2,1,0,5.00001789999988,1,0,0,35,1,"bino_nogo",0,1
"722.1830","722","201908071226.mat",59,1,1,0,1.26739330000055,1,1,0,35,1,"bino_go",1,1
"722.1831","722","201908071226.mat",62,2,1,0,5.00005199999941,1,0,0,35,1,"bino_nogo",0,1
"722.1832","722","201908071226.mat",64,1,1,0,1.98195269999997,1,1,0,35,1,"bino_go",1,1
"722.1833","722","201908071226.mat",65,2,1,0,5.0000140000011,1,0,0,35,1,"bino_nogo",0,1
"722.1834","722","201908071226.mat",67,2,1,0,5.0000885999998,1,0,0,35,1,"bino_nogo",0,1
"722.1835","722","201908071226.mat",75,2,1,0,5.00001499999962,1,0,0,35,1,"bino_nogo",0,1
"722.1836","722","201908071226.mat",79,1,1,0,1.1832644999995,1,1,0,35,1,"bino_go",1,1
"722.1837","722","201908071226.mat",82,1,0,0,5.00001220000013,1,0,0,35,1,"bino_go",1,1
"722.1838","722","201908071226.mat",84,2,0,0,7.75000007706694e-05,0,0,0,35,1,"bino_nogo",0,1
"722.1839","722","201908071226.mat",92,1,1,0,0.00428259999898728,1,1,0,35,1,"bino_go",1,1
"722.1840","722","201908071226.mat",94,1,1,0,3.19002600000022,1,1,0,35,1,"bino_go",1,1
"722.1841","722","201908071226.mat",96,2,1,0,5.00004420000005,1,0,0,35,1,"bino_nogo",0,1
"722.1842","722","201908071226.mat",97,2,0,0,7.87999997555744e-05,0,0,0,35,1,"bino_nogo",0,1
"722.1843","722","201908071226.mat",100,2,1,0,5.0000158999992,1,0,0,35,1,"bino_nogo",0,1
"722.1844","722","201908071226.mat",103,1,0,0,5.00002270000005,1,0,0,35,1,"bino_go",1,1
"722.1845","722","201908071226.mat",104,2,1,0,5.00000750000072,1,0,0,35,1,"bino_nogo",0,1
"722.1846","722","201908071226.mat",112,2,1,0,5.00000900000123,1,0,0,35,1,"bino_nogo",0,1
"722.1847","722","201908071226.mat",117,2,0,0,8.70999992912402e-05,0,0,0,35,1,"bino_nogo",0,1
"722.1848","722","201908071226.mat",118,1,0,0,7.58000005589565e-05,0,0,0,35,1,"bino_go",1,1
"722.1849","722","201908081622.mat",4,1,1,0,0.717287000006763,1,1,0,36,2,"bino_go",1,1
"722.1850","722","201908081622.mat",19,1,1,0,0.582554299995536,1,1,0,36,2,"bino_go",1,1
"722.1851","722","201908081622.mat",25,1,1,0,0.497186599997804,1,1,0,36,2,"bino_go",1,1
"722.1852","722","201908081622.mat",27,2,1,0,5.00007410001126,1,0,0,36,2,"bino_nogo",0,1
"722.1853","722","201908081622.mat",28,2,1,0,5.00007259999984,1,0,0,36,2,"bino_nogo",0,1
"722.1854","722","201908081622.mat",30,2,1,0,5.00004610000178,1,0,0,36,2,"bino_nogo",0,1
"722.1855","722","201908081622.mat",31,2,1,0,5.00004470000567,1,0,0,36,2,"bino_nogo",0,1
"722.1856","722","201908081622.mat",33,2,1,0,5.00014279999596,1,0,0,36,2,"bino_nogo",0,1
"722.1857","722","201908081622.mat",34,1,1,0,0.515462299998035,1,1,0,36,2,"bino_go",1,1
"722.1858","722","201908081622.mat",36,1,1,0,0.557800499998848,1,1,0,36,2,"bino_go",1,1
"722.1859","722","201908081622.mat",40,1,1,0,0.561431299996912,1,1,0,36,2,"bino_go",1,1
"722.1860","722","201908081622.mat",41,1,1,0,0.795606400002725,1,1,0,36,2,"bino_go",1,1
"722.1861","722","201908081622.mat",43,1,1,0,0.510338399995817,1,1,0,36,2,"bino_go",1,1
"722.1862","722","201908081622.mat",45,2,1,0,5.0000308000017,1,0,0,36,2,"bino_nogo",0,1
"722.1863","722","201908081622.mat",46,2,1,0,5.00005679999595,1,0,0,36,2,"bino_nogo",0,1
"722.1864","722","201908081622.mat",53,1,1,0,0.470006199990166,1,1,0,36,2,"bino_go",1,1
"722.1865","722","201908081622.mat",55,2,1,0,5.00003469998774,1,0,0,36,2,"bino_nogo",0,1
"722.1866","722","201908081622.mat",62,2,1,0,5.00009849999333,1,0,0,36,2,"bino_nogo",0,1
"722.1867","722","201908081622.mat",64,2,1,0,5.00002900000254,1,0,0,36,2,"bino_nogo",0,1
"722.1868","722","201908081622.mat",66,2,1,0,5.00004980000085,1,0,0,36,2,"bino_nogo",0,1
"722.1869","722","201908081622.mat",73,2,0,0,0.000104300008388236,0,0,0,36,2,"bino_nogo",0,1
"722.1870","722","201908081622.mat",75,1,1,0,0.393770200011204,1,1,0,36,2,"bino_go",1,1
"722.1871","722","201908081622.mat",78,2,1,0,5.00000780000119,1,0,0,36,2,"bino_nogo",0,1
"722.1872","722","201908081622.mat",80,1,1,0,0.572034300013911,1,1,0,36,2,"bino_go",1,1
"722.1873","722","201908081622.mat",81,2,0,0,0.000127799998153932,0,0,0,36,2,"bino_nogo",0,1
"722.1874","722","201908081622.mat",83,2,1,0,5.00003490000381,1,0,0,36,2,"bino_nogo",0,1
"722.1875","722","201908081622.mat",84,1,1,0,0.577172699995572,1,1,0,36,2,"bino_go",1,1
"722.1876","722","201908081622.mat",85,1,0,0,9.81999910436571e-05,0,0,0,36,2,"bino_go",1,1
"722.1877","722","201908081622.mat",88,1,1,0,1.04680949999602,1,1,0,36,2,"bino_go",1,1
"722.1878","722","201908081622.mat",90,1,1,0,0.747165900000255,1,1,0,36,2,"bino_go",1,1
"722.1879","722","201908081622.mat",98,1,1,0,0.791561399993952,1,1,0,36,2,"bino_go",1,1
"722.1880","722","201908081622.mat",100,1,1,0,0.738589599990519,1,1,0,36,2,"bino_go",1,1
"722.1881","722","201908081622.mat",101,2,1,0,5.00007660000119,1,0,0,36,2,"bino_nogo",0,1
"722.1882","722","201908081622.mat",104,1,1,0,1.29838720000407,1,1,0,36,2,"bino_go",1,1
"722.1883","722","201908081622.mat",105,2,1,0,5.00008919999527,1,0,0,36,2,"bino_nogo",0,1
"722.1884","722","201908081622.mat",107,2,1,0,5.00004260000424,1,0,0,36,2,"bino_nogo",0,1
"722.1885","722","201908081622.mat",108,2,1,0,5.00005380000221,1,0,0,36,2,"bino_nogo",0,1
"722.1886","722","201908081622.mat",110,1,1,0,0.371801500004949,1,1,0,36,2,"bino_go",1,1
"722.1887","722","201908081622.mat",115,2,1,0,5.0000643000094,1,0,0,36,2,"bino_nogo",0,1
"722.1888","722","201908081622.mat",118,1,0,0,0.000100899997050874,0,0,0,36,2,"bino_go",1,1
"722.1889","722","201908081716.mat",4,1,1,0,0.544026599993231,1,1,0,37,3,"bino_go",1,1
"722.1890","722","201908081716.mat",8,2,1,0,5.00007149999146,1,0,0,37,3,"bino_nogo",0,1
"722.1891","722","201908081716.mat",10,2,1,0,5.00006049999502,1,0,0,37,3,"bino_nogo",0,1
"722.1892","722","201908081716.mat",11,2,1,0,5.00005269999383,1,0,0,37,3,"bino_nogo",0,1
"722.1893","722","201908081716.mat",18,2,1,0,5.00005139999848,1,0,0,37,3,"bino_nogo",0,1
"722.1894","722","201908081716.mat",19,1,1,0,0.603442799998447,1,1,0,37,3,"bino_go",1,1
"722.1895","722","201908081716.mat",23,1,1,0,0.517615400007344,1,1,0,37,3,"bino_go",1,1
"722.1896","722","201908081716.mat",24,2,1,0,5.00006669999857,1,0,0,37,3,"bino_nogo",0,1
"722.1897","722","201908081716.mat",25,1,1,0,0.491761999990558,1,1,0,37,3,"bino_go",1,1
"722.1898","722","201908081716.mat",26,1,1,0,0.662041699994006,1,1,0,37,3,"bino_go",1,1
"722.1899","722","201908081716.mat",28,1,1,0,0.351032200007467,1,1,0,37,3,"bino_go",1,1
"722.1900","722","201908081716.mat",37,2,1,0,5.00005139999848,1,0,0,37,3,"bino_nogo",0,1
"722.1901","722","201908081716.mat",38,2,1,0,5.00002259999746,1,0,0,37,3,"bino_nogo",0,1
